'c', 'type(B)','name', 'boundary_type', 'visible(t/f)', 'line rgb-colour', 'rgb-fill-colour',,,,,
'B','MNP01 - Westaways Creek','Exclusion','t',"rgb(0,255,0)","rgb(255,0,255)",,,,,,
'c', 'type(BP)', 'name', lat, lon, 'boundary_type', 'visible', 'rings-visible(t/f)', 'rings-number', 'rings-step', 'rings-units(N/K)', 'rings-colour'
'BP','5',-27.73555,153.433183333333,,,,,,,,
'BP','6',-27.7379666666667,153.41135,,,,,,,,
'BP','7',-27.7373,153.410766666667,,,,,,,,
'BP','0',-27.7240166666667,153.405733333333,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP32 - Offshore South Stradbroke Island','Exclusion',,,,,,,,,
'BP','0',-27.8347166666667,153.43135,,,,,,,,
'BP','1',-27.8347166666667,153.436483333333,,,,,,,,
'BP','2',-27.7811666666667,153.445016666667,,,,,,,,
'BP','3',-27.7811666666667,153.4755,,,,,,,,
'BP','4',-27.8016666666667,153.471,,,,,,,,
'BP','5',-27.8673333333333,153.4628,,,,,,,,
'BP','6',-27.8673333333333,153.426933333333,,,,,,,,
'BP','0',-27.8347166666667,153.43135,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP33 - McCoys Creek','Exclusion',,,,,,,,,
'BP','0',-27.82215,153.377,,,,,,,,
'BP','1',-27.8227833333333,153.377466666667,,,,,,,,
'BP','0',-27.82215,153.377,,,,,,,,
'/B',,,,,,,,,,,
'B','MNP34 - Coombabah Lake','Exclusion',,,,,,,,,
'BP','0',-27.8913166666667,153.35905,,,,,,,,
'BP','1',-27.8913166666667,153.357583333333,,,,,,,,
'BP','2',-27.9017666666667,153.352833333333,,,,,,,,
'BP','3',-27.9017666666667,153.356833333333,,,,,,,,
'BP','0',-27.8913166666667,153.35905,,,,,,,,
'/B',,,,,,,,,,,
